,Name,Company,City,Ratings,Summary,Date
4765,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4766,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4767,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4768,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4769,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4770,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
4771,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
4772,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4773,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
4774,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
4775,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
4776,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
4777,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
4778,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
4779,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
4780,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
4781,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
4782,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
4783,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4784,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4785,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4786,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4787,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4788,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4789,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
4790,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4791,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
4792,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
4793,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4794,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4795,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4796,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4797,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4798,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4799,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
4800,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4801,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
4802,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
4803,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
4804,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
4805,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
4806,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
4807,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
4808,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
4809,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
4810,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
4811,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
4812,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
4813,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
4814,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
4815,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
4816,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
4817,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
4818,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
4819,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
4820,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
4821,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
4822,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
4823,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4824,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4825,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4826,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4827,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4828,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4829,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
4830,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
4831,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4832,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
4833,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4834,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4835,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4836,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4837,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4838,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4839,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
4840,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4841,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
4842,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
4843,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4844,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4845,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4846,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,Those authorized to work in the United States without sponsorship are encouraged to apply.ship is required with the ability to obtain and maintain a Top Secret…,16 days ago
4847,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Take responsibility for preparing data for analysis, review data preparation/ETL code and provide critical feedback on issues of data integrity.",30+ days ago
4848,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"Experience with data cleaning and transformation.
Compile data needed to analyze Subscription Energy performance.
Experience working with Microsoft Excel.",1 day ago
4849,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4850,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
4851,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"You must be comfortable with data processing, transformation, development of data models, and sophisticated analytics and data visualization.",9 days ago
4852,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4853,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4854,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4855,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4856,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4857,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4858,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
4859,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
4860,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4861,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
4862,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4863,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4864,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4865,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4866,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4867,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4868,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
4869,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4870,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
4871,Data Entry Clerk,Liveops,"Mahopac, NY",3.8,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",4 days ago
4872,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4873,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4874,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4875,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4876,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4877,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4878,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
4879,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
4880,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
4881,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,"Projects include ad hoc data analysis, business process workflow analysis and documentation.
Interns will work with employees throughout the organization to…",30+ days ago
4882,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
4883,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
4884,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
4885,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
4886,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
4887,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
4888,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
4889,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
4890,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
4891,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
4892,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
4893,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
4894,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
4895,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
4896,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
4897,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
4898,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
4899,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
4900,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
4901,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
4902,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
4903,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
4904,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
4905,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
4906,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
4907,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
4908,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
4909,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
4910,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
